"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"2011","E00004515","E00004515","Total",121,114,29,2,11,16,85,27,58,0,0,7
"2011","E00004518","E00004518","Total",116,114,13,0,3,10,101,72,29,0,0,2
"2011","E00004519","E00004519","Total",112,112,68,1,3,64,44,9,34,1,0,0
"2011","E00004575","E00004575","Total",184,181,17,0,0,17,164,37,101,26,0,3
"2011","E00004578","E00004578","Total",154,150,19,1,6,12,131,54,60,17,0,4
"2011","E00004580","E00004580","Total",151,151,8,0,4,4,143,60,82,1,0,0
"2011","E00004581","E00004581","Total",101,101,12,2,4,6,89,34,54,1,0,0
"2011","E00004582","E00004582","Total",127,110,30,2,7,21,80,16,63,1,0,17
"2011","E00004593","E00004593","Total",229,215,16,1,4,11,199,102,64,33,0,14
"2011","E00004587","E00004587","Total",121,121,18,1,6,11,103,19,84,0,0,0
"2011","E00004589","E00004589","Total",125,115,53,1,2,50,62,9,50,3,0,10
"2011","E00004590","E00004590","Total",99,99,21,0,6,15,78,9,69,0,0,0
"2011","E00004592","E00004592","Total",99,95,29,0,2,27,66,3,62,1,0,4
"2011","E00004595","E00004595","Total",104,104,46,2,6,38,58,19,39,0,0,0
"2011","E00004596","E00004596","Total",108,108,83,1,11,71,25,6,19,0,0,0
"2011","E00004576","E00004576","Total",140,140,23,2,1,20,117,95,22,0,0,0
"2011","E00004577","E00004577","Total",124,124,48,4,9,35,76,47,25,4,0,0
"2011","E00004579","E00004579","Total",105,105,30,0,3,27,75,25,49,1,0,0
"2011","E00004583","E00004583","Total",142,140,46,3,14,29,93,31,62,0,1,2
"2011","E00004584","E00004584","Total",171,164,27,2,8,17,137,56,67,14,0,7
"2011","E00004323","E00004323","Total",96,96,10,4,5,1,86,50,36,0,0,0
"2011","E00004328","E00004328","Total",95,86,8,3,3,2,78,64,14,0,0,9
"2011","E00004353","E00004353","Total",137,135,1,0,1,0,134,128,6,0,0,2
"2011","E00004354","E00004354","Total",108,108,27,18,6,3,81,24,57,0,0,0
"2011","E00004358","E00004358","Total",114,114,29,13,7,9,85,51,34,0,0,0
"2011","E00004324","E00004324","Total",122,117,23,12,11,0,94,23,71,0,0,5
"2011","E00004325","E00004325","Total",113,113,23,9,13,1,90,9,81,0,0,0
"2011","E00004330","E00004330","Total",146,139,6,4,2,0,133,19,114,0,0,7
"2011","E00004355","E00004355","Total",122,122,16,7,7,2,106,53,45,8,0,0
"2011","E00004361","E00004361","Total",99,95,47,12,8,27,48,17,30,1,0,4
"2011","E00004327","E00004327","Total",140,140,21,3,9,9,119,27,92,0,0,0
"2011","E00004329","E00004329","Total",124,124,8,3,5,0,116,42,74,0,0,0
"2011","E00004356","E00004356","Total",121,121,34,19,15,0,87,23,64,0,0,0
"2011","E00004357","E00004357","Total",118,118,32,15,13,4,86,10,76,0,0,0
"2011","E00004360","E00004360","Total",118,118,13,6,5,2,105,18,87,0,0,0
"2011","E00004322","E00004322","Total",114,114,44,29,15,0,70,17,53,0,0,0
"2011","E00004347","E00004347","Total",97,90,38,3,34,1,52,6,46,0,0,7
"2011","E00004348","E00004348","Total",131,118,34,3,25,6,84,32,52,0,0,13
"2011","E00004349","E00004349","Total",117,115,52,14,29,9,63,15,48,0,0,2
"2011","E00004352","E00004352","Total",118,118,37,15,22,0,81,8,73,0,0,0
"2011","E00004345","E00004345","Total",121,121,53,44,8,1,68,45,23,0,0,0
"2011","E00004346","E00004346","Total",94,94,45,14,31,0,49,33,16,0,0,0
"2011","E00004350","E00004350","Total",125,125,18,7,8,3,107,93,14,0,0,0
"2011","E00004351","E00004351","Total",131,131,62,8,19,35,69,55,12,2,0,0
"2011","E00004359","E00004359","Total",121,121,58,28,23,7,63,7,56,0,0,0
"2011","E00004295","E00004295","Total",175,174,61,25,31,5,113,86,26,1,0,1
"2011","E00004296","E00004296","Total",133,133,50,4,23,23,82,36,46,0,1,0
"2011","E00004298","E00004298","Total",112,101,63,15,43,5,38,3,35,0,0,11
"2011","E00004303","E00004303","Total",113,113,52,4,40,8,61,20,40,1,0,0
"2011","E00004311","E00004311","Total",99,99,54,6,46,2,45,4,40,1,0,0
"2011","E00004300","E00004300","Total",111,101,35,7,25,3,66,14,52,0,0,10
"2011","E00004301","E00004301","Total",241,220,44,8,32,4,176,86,62,28,0,21
"2011","E00004302","E00004302","Total",143,109,39,8,10,21,70,17,53,0,0,34
"2011","E00004314","E00004314","Total",153,124,20,9,10,1,104,26,77,1,0,29
"2011","E00004316","E00004316","Total",122,105,10,7,3,0,95,17,77,1,0,17
"2011","E00004319","E00004319","Total",143,131,4,2,1,1,127,40,87,0,0,12
"2011","E00004307","E00004307","Total",150,146,95,2,9,84,51,4,47,0,0,4
"2011","E00004308","E00004308","Total",123,118,26,5,1,20,92,22,70,0,0,5
"2011","E00004312","E00004312","Total",150,126,27,0,3,24,99,19,80,0,0,24
"2011","E00004317","E00004317","Total",161,161,65,2,5,58,96,10,67,19,0,0
"2011","E00004318","E00004318","Total",126,126,23,6,14,3,103,53,48,2,0,0
"2011","E00004305","E00004305","Total",134,134,4,1,0,3,130,108,12,10,0,0
"2011","E00004306","E00004306","Total",157,129,12,1,1,10,117,99,18,0,0,28
"2011","E00004310","E00004310","Total",128,128,3,0,1,2,125,98,27,0,0,0
"2011","E00004313","E00004313","Total",131,131,2,0,1,1,129,124,5,0,0,0
"2011","E00004315","E00004315","Total",154,154,12,0,1,11,142,62,66,14,0,0
"2011","E00004285","E00004285","Total",144,117,17,4,7,6,100,44,50,6,0,27
"2011","E00004297","E00004297","Total",154,144,21,5,12,4,123,56,60,7,0,10
"2011","E00004299","E00004299","Total",135,135,64,2,1,61,71,11,60,0,0,0
"2011","E00004304","E00004304","Total",178,163,50,2,8,40,113,30,66,17,0,15
"2011","E00004309","E00004309","Total",115,105,51,0,8,43,54,31,23,0,0,10
"2011","E00004381","E00004381","Total",117,113,18,0,8,10,95,12,83,0,0,4
"2011","E00004384","E00004384","Total",101,96,22,2,9,11,74,23,51,0,0,5
"2011","E00004385","E00004385","Total",91,86,27,0,7,20,59,5,54,0,0,5
"2011","E00004389","E00004389","Total",108,104,39,1,7,31,65,8,53,4,0,4
"2011","E00004392","E00004392","Total",95,95,82,2,19,61,13,2,7,4,0,0
"2011","E00004394","E00004394","Total",94,94,7,1,0,6,87,61,26,0,0,0
"2011","E00004365","E00004365","Total",139,139,26,0,3,23,113,38,62,13,0,0
"2011","E00004383","E00004383","Total",103,95,33,0,2,31,62,21,41,0,0,8
"2011","E00004387","E00004387","Total",89,89,29,1,2,26,60,19,41,0,0,0
"2011","E00004390","E00004390","Total",113,113,35,1,6,28,78,41,34,3,0,0
"2011","E00004393","E00004393","Total",113,113,22,1,9,12,91,90,0,1,0,0
"2011","E00004395","E00004395","Total",133,123,34,2,3,29,89,15,74,0,0,10
"2011","E00004382","E00004382","Total",139,106,36,0,8,28,70,6,64,0,0,33
"2011","E00004386","E00004386","Total",101,96,33,1,6,26,63,5,57,1,0,5
"2011","E00004388","E00004388","Total",99,99,35,0,1,34,64,13,51,0,0,0
